UKPRN,HE provider,Country of HE provider,Region of HE provider,Academic Year,KFI ratio title,Value (Ratio)
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,Surplus/(deficit) as a % of total income,-0.02
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,Staff costs as a % of total income,0.581
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,Premises costs as a % of total costs,0.042
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,Unrestricted reserves as a % of total income,1.425
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,External borrowing as a % of total income,0.313
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,Days ratio of total net assets to total expenditure,574.0
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,Ratio of current assets to current liabilities,0.7
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,Net cash inflow from operating activities as a % of total income,0.08199999999999999
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,Net liquidity days,38.0
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,General funds as a % of total income,0.28600000000000003
10007849,Abertay University,Scotland,Scotland,2015/16,Surplus/(deficit) as a % of total income,0.037000000000000005
10007849,Abertay University,Scotland,Scotland,2015/16,Staff costs as a % of total income,0.657
10007849,Abertay University,Scotland,Scotland,2015/16,Premises costs as a % of total costs,0.034
10007849,Abertay University,Scotland,Scotland,2015/16,Unrestricted reserves as a % of total income,0.5589999999999999
10007849,Abertay University,Scotland,Scotland,2015/16,External borrowing as a % of total income,0.0
10007849,Abertay University,Scotland,Scotland,2015/16,Days ratio of total net assets to total expenditure,224.0
10007849,Abertay University,Scotland,Scotland,2015/16,Ratio of current assets to current liabilities,2.1
10007849,Abertay University,Scotland,Scotland,2015/16,Net cash inflow from operating activities as a % of total income,0.086
10007849,Abertay University,Scotland,Scotland,2015/16,Net liquidity days,138.0
10007849,Abertay University,Scotland,Scotland,2015/16,General funds as a % of total income,0.52
10007856,Aberystwyth University,Wales,Wales,2015/16,Surplus/(deficit) as a % of total income,-0.042
10007856,Aberystwyth University,Wales,Wales,2015/16,Staff costs as a % of total income,0.569
10007856,Aberystwyth University,Wales,Wales,2015/16,Premises costs as a % of total costs,0.059000000000000004
10007856,Aberystwyth University,Wales,Wales,2015/16,Unrestricted reserves as a % of total income,0.7809999999999999
10007856,Aberystwyth University,Wales,Wales,2015/16,External borrowing as a % of total income,0.081
10007856,Aberystwyth University,Wales,Wales,2015/16,Days ratio of total net assets to total expenditure,426.0
10007856,Aberystwyth University,Wales,Wales,2015/16,Ratio of current assets to current liabilities,1.5
10007856,Aberystwyth University,Wales,Wales,2015/16,Net cash inflow from operating activities as a % of total income,0.059000000000000004
