UKPRN,HE provider,Country of HE provider,Academic Year,Region of HE provider,Net cash inflow from operating activities as a % of total income,Surplus/(deficit) as a % of total income,Net cash inflow from operating activities as a % of total income - Outlier,Surplus/(deficit) as a % of total income - Outlier,Outlying value
10000163,Health Sciences University,England,2017/18,South West,0.065,0.054000000000000006,False,False,False
10000163,Health Sciences University,England,2018/19,South West,0.064,-0.029,False,False,False
10000163,Health Sciences University,England,2019/20,South West,0.17800000000000002,0.067,False,False,False
10000163,Health Sciences University,England,2020/21,South West,0.228,0.11,False,False,False
10000163,Health Sciences University,England,2021/22,South West,0.218,0.114,False,False,False
10000163,Health Sciences University,England,2022/23,South West,0.08800000000000001,0.051,False,False,False
10000163,Health Sciences University,England,2023/24,South West,-0.036000000000000004,-0.016,False,False,False
10000216,All Nations Christian College Limited,England,2019/20,East of England,0.019,-0.162,False,False,False
10000216,All Nations Christian College Limited,England,2020/21,East of England,0.006999999999999999,0.09,False,False,False
10000216,All Nations Christian College Limited,England,2021/22,East of England,0.056,0.263,False,True,True
10000216,All Nations Christian College Limited,England,2022/23,East of England,-0.029,0.012,False,False,False
10000216,All Nations Christian College Limited,England,2023/24,East of England,0.17800000000000002,-0.334,False,True,True
10000216,All Nations Christian College Limited,England,2024/25,East of England,0.002,-0.095,False,False,False
10000248,Academy of Live and Recorded Arts,England,2019/20,London,0.005,0.004,False,False,False
10000248,Academy of Live and Recorded Arts,England,2020/21,London,0.091,0.01,False,False,False
10000291,Anglia Ruskin University,England,2015/16,East of England,0.138,0.026,False,False,False
10000291,Anglia Ruskin University,England,2016/17,East of England,0.086,0.035,False,False,False
10000291,Anglia Ruskin University,England,2017/18,East of England,0.13699999999999998,0.01,False,False,False
10000291,Anglia Ruskin University,England,2018/19,East of England,0.139,0.039,False,False,False
10000291,Anglia Ruskin University,England,2019/20,East of England,0.158,0.027000000000000003,False,False,False
10000291,Anglia Ruskin University,England,2020/21,East of England,0.129,-0.005,False,False,False
10000291,Anglia Ruskin University,England,2021/22,East of England,0.182,0.003,False,False,False
10000291,Anglia Ruskin University,England,2022/23,East of England,0.08800000000000001,0.019,False,False,False
10000291,Anglia Ruskin University,England,2023/24,East of England,0.028,0.12,False,False,False
10000381,Arts Educational Schools,England,2019/20,London,0.23,0.166,False,False,False
10000381,Arts Educational Schools,England,2020/21,London,0.158,0.08,False,False,False
10000381,Arts Educational Schools,England,2021/22,London,0.111,0.023,False,False,False
10000381,Arts Educational Schools,England,2022/23,London,0.084,0.022,False,False,False
10000381,Arts Educational Schools,England,2023/24,London,0.069,-0.009000000000000001,False,False,False
10000381,Arts Educational Schools,England,2024/25,London,0.069,-0.066,False,False,False
10000385,The Arts University Bournemouth,England,2015/16,South West,0.24,0.062,False,False,False
10000385,The Arts University Bournemouth,England,2016/17,South West,0.239,0.081,False,False,False
10000385,The Arts University Bournemouth,England,2017/18,South West,0.226,0.032,False,False,False
10000385,The Arts University Bournemouth,England,2018/19,South West,0.219,0.012,False,False,False
10000385,The Arts University Bournemouth,England,2019/20,South West,0.155,-0.009000000000000001,False,False,False
10000385,The Arts University Bournemouth,England,2020/21,South West,0.165,-0.103,False,False,False
10000385,The Arts University Bournemouth,England,2021/22,South West,0.192,-0.046,False,False,False
10000385,The Arts University Bournemouth,England,2022/23,South West,0.163,-0.019,False,False,False
