UKPRN,HE provider,Country of HE provider,Academic Year,Region of HE provider,Days ratio of total net assets to total expenditure,Days ratio of total net assets to total expenditure excl. pension adjustment,Debt service ratio,External borrowing as a % of total income,General funds as a % of total income,Net cash inflow from operating activities as a % of total income,Net liquidity days,Net liquidity days excl. pension adjustment,Premises costs as a % of total costs,Premises costs as a % of total costs excl. pension adjustment,Ratio of current assets to current liabilities,Staff costs as a % of total income,Staff costs excl. pension adjustment as a % of total income,Surplus/(deficit) as a % of total income,Surplus/(deficit) excl. pension adjustment as a % of total income,Unrestricted reserves as a % of total income
10000163,Health Sciences University,England,2017/18,South West,273.0,,,0.0,,0.065,175.0,,0.069,,4.0,0.614,,0.054000000000000006,,0.675
10000163,Health Sciences University,England,2018/19,South West,240.0,245.0,,0.0,,0.064,168.0,171.0,0.076,0.077,4.3,0.696,0.674,-0.029,-0.008,0.644
10000163,Health Sciences University,England,2019/20,South West,223.0,227.0,,0.0,,0.17800000000000002,203.0,207.0,0.077,0.078,3.5,0.612,0.595,0.067,0.084,0.54
10000163,Health Sciences University,England,2020/21,South West,271.0,274.0,26.4,0.0,,0.228,249.0,251.0,0.085,0.086,3.3,0.59,0.5820000000000001,0.11,0.118,0.636
10000163,Health Sciences University,England,2021/22,South West,373.0,384.0,26.2,0.0,,0.218,256.0,265.0,0.102,0.105,2.9,0.573,0.546,0.114,0.141,0.884
10000163,Health Sciences University,England,2022/23,South West,333.0,337.0,16.7,0.0,,0.08800000000000001,199.0,202.0,0.099,0.1,2.5,0.611,0.599,0.051,0.063,0.8490000000000001
10000163,Health Sciences University,England,2023/24,South West,283.0,286.0,-13.0,0.0,,-0.036000000000000004,143.0,145.0,0.08199999999999999,0.083,2.1,0.654,0.645,-0.016,-0.006999999999999999,0.774
10000216,All Nations Christian College Limited,England,2019/20,East of England,488.0,488.0,,0.012,,0.019,223.0,223.0,0.115,0.115,4.6,0.636,0.636,-0.162,-0.162,1.376
10000216,All Nations Christian College Limited,England,2020/21,East of England,544.0,544.0,0.0,0.001,,0.006999999999999999,232.0,232.0,0.109,0.109,7.1,0.4970000000000001,0.4970000000000001,0.09,0.09,1.196
10000216,All Nations Christian College Limited,England,2021/22,East of England,622.0,622.0,0.0,0.001,,0.056,225.0,225.0,0.121,0.121,6.8,0.401,0.401,0.263,0.263,1.139
10000216,All Nations Christian College Limited,England,2022/23,East of England,563.0,563.0,0.0,0.001,,-0.029,180.0,180.0,0.108,0.108,8.5,0.556,0.556,0.012,0.012,1.361
10000216,All Nations Christian College Limited,England,2023/24,East of England,443.0,443.0,0.0,0.001,,0.17800000000000002,218.0,218.0,0.115,0.115,4.7,0.7120000000000001,0.7120000000000001,-0.334,-0.334,1.42
10000216,All Nations Christian College Limited,England,2024/25,East of England,442.0,442.0,0.0,0.001,,0.002,238.0,238.0,0.139,0.139,4.5,0.551,0.551,-0.095,-0.095,1.102
10000248,Academy of Live and Recorded Arts,England,2019/20,London,6.0,6.0,,0.0,,0.005,86.0,86.0,0.0,0.0,1.0,0.457,0.457,0.004,0.004,0.015
10000248,Academy of Live and Recorded Arts,England,2020/21,London,9.0,9.0,0.0,0.0,,0.091,114.0,114.0,0.013,0.013,1.0,0.476,0.476,0.01,0.01,0.024
10000291,Anglia Ruskin University,England,2015/16,East of England,47.0,,,0.447,0.0,0.138,116.0,,0.049,,1.3,0.491,,0.026,,0.124
10000291,Anglia Ruskin University,England,2016/17,East of England,45.0,,,0.405,,0.086,87.0,,0.046,,1.2,0.4970000000000001,,0.035,,0.111
10000291,Anglia Ruskin University,England,2017/18,East of England,102.0,,,0.4,,0.13699999999999998,81.0,,0.051,,1.1,0.534,,0.01,,0.243
10000291,Anglia Ruskin University,England,2018/19,East of England,96.0,101.0,,0.3670000000000001,,0.139,94.0,98.0,0.046,0.048,1.3,0.52,0.48,0.039,0.079,0.183
